step	accuracy
0	0.5534999966621399
1	0.6115000247955322
2	0.6343749761581421
3	0.6512500047683716
4	0.6651250123977661
5	0.6625000238418579
6	0.6808750033378601
7	0.6818749904632568
8	0.6955000162124634
9	0.7043750286102295
