step	loss
0	0.7210817337036133
1	0.655437707901001
2	0.6378939151763916
3	0.6230321526527405
4	0.6136921644210815
5	0.5970602035522461
6	0.5921922922134399
7	0.584446907043457
8	0.5657756328582764
9	0.564500093460083
